Date,Humidity,Evaporation,Rainfall,Temperature,Precipitation,Wind Speed
11-06-2000,70.68707275,8.64E-06,1.67E-05,305.5774841,3.5703125,9.601203918
12-06-2000,56.21875,1.94E-05,0,308.1791077,0,9.956233025
13-06-2000,59.68878555,1.84E-05,0,307.6903381,0.2890625,8.416721344
14-06-2000,54.17932129,1.95E-05,0,309.145752,1.9765625,5.608785152
15-06-2000,67.35555267,1.63E-05,0,305.3268433,0,4.55825901
16-06-2000,70.4575119,1.22E-05,0,304.0513611,0,3.290560246
17-06-2000,70.40524292,2.00E-05,0,304.3713379,1.703125,5.335584641
18-06-2000,81.31891632,1.10E-05,3.67E-05,302.9343872,1.7421875,12.34448433
19-06-2000,74.80631256,1.45E-05,5.10E-05,303.2086487,0.125,12.22662449
20-06-2000,75.34902191,1.26E-05,0,303.3982849,1.03125,11.13032341
21-06-2000,68.43999481,2.06E-05,3.19E-05,304.7466125,0.96875,11.92801094
22-06-2000,83.91950226,9.54E-06,9.06E-06,302.7175903,2,12.48383236
23-06-2000,76.53725433,1.23E-05,2.48E-05,304.261261,3.734375,11.40120411
24-06-2000,57.9360466,2.89E-05,1.38E-05,307.2738342,0.15625,10.51056671
25-06-2000,50.12652206,4.23E-05,0,309.0309143,1.328125,8.318715096
26-06-2000,59.22834396,3.31E-05,0,306.9320374,0,8.408584595
27-06-2000,71.42198181,1.81E-05,5.15E-05,305.1584167,2.90625,6.144602299
28-06-2000,70.9404068,1.90E-05,4.53E-05,304.4182434,1.890625,10.57411861
29-06-2000,61.75550461,3.06E-05,1.34E-05,305.7533875,0.3125,13.07349873
30-06-2000,57.51412964,3.53E-05,2.57E-05,306.1577148,0.234375,10.54392147
01-07-2000,66.78260803,2.22E-05,1.24E-05,304.4847107,0.265625,10.04818439
02-07-2000,69.63121796,1.69E-05,0,303.8719177,1.109375,6.392776489
03-07-2000,46.4969635,3.76E-05,0,308.0145874,0.296875,7.37765789
04-07-2000,42.26287842,4.20E-05,0,308.8468933,0,8.976752281
05-07-2000,44.45872498,3.65E-05,0,309.0162048,0,9.606432915
06-07-2000,57.63380051,2.13E-05,1.72E-05,307.0559082,0.5625,9.014182091
07-07-2000,67.5307312,1.44E-05,0,304.6812134,0.265625,7.042449474
08-07-2000,80.32343292,8.76E-06,2.86E-06,303.1489258,1.375,9.169007301
09-07-2000,50.55204391,3.25E-05,2.86E-06,308.2672119,0.28125,10.33818054
10-07-2000,72.25643158,1.70E-05,0,304.7905579,1.375,6.814115047
11-07-2000,69.75256348,1.57E-05,6.20E-06,304.6652222,0.21875,11.45767021
12-07-2000,84.71875,5.19E-06,9.58E-05,302.025238,1.734375,11.63837433
13-07-2000,72.39920807,1.60E-05,1.67E-05,303.5214539,0.578125,13.56532669
14-07-2000,81.40307617,9.48E-06,4.77E-06,303.1743469,3.046875,9.282299042
15-07-2000,81.99172211,6.32E-06,0,302.7210999,0.765625,5.104180813
16-07-2000,80.71364594,1.51E-05,2.10E-05,303.1611328,2.5234375,4.022433758
17-07-2000,73.59799957,2.67E-05,1.57E-05,303.3161011,0.015625,9.465741158
18-07-2000,87.75,1.74E-05,3.62E-05,301.105835,1.90625,10.73770046
19-07-2000,73.29978943,2.70E-05,0,302.7780762,0.24609375,11.90130234
20-07-2000,75.43145752,2.37E-05,0,302.8492737,0.296875,12.17415428
21-07-2000,79.45814514,1.11E-05,0,301.6741333,0.17578125,5.19456768
22-07-2000,80.93372345,1.66E-05,0,301.6351624,0.0625,7.926633835
23-07-2000,84.86520386,6.62E-06,0,301.1470337,2.125,7.558143616
24-07-2000,93.38476563,4.89E-06,2.10E-05,299.7966919,4.7734375,9.619555473
25-07-2000,91.84853363,1.04E-05,1.62E-05,299.4154663,0.09375,9.96286869
26-07-2000,70.31924438,5.16E-05,2.86E-06,302.6396179,0.0859375,12.95539951
27-07-2000,73.67285156,3.25E-05,2.62E-05,303.7003174,0.9609375,7.679222584
28-07-2000,71.57146454,3.50E-05,5.10E-05,303.7309875,0.7734375,9.384982109
29-07-2000,79.03953552,2.38E-05,4.58E-05,303.3764954,1.5546875,8.985466003
30-07-2000,70.8898468,4.67E-05,1.72E-05,304.2773438,0.96875,11.03850269
31-07-2000,78.05631256,2.27E-05,4.20E-05,303.331543,1.421875,11.577178
01-08-2000,77.98823547,1.88E-05,0,303.4480286,2.828125,12.47969723
02-08-2000,79.58226776,1.42E-05,4.77E-06,303.4776001,0.5,7.326420307
03-08-2000,59.16027451,5.27E-05,1.10E-05,306.3416443,0.71875,6.598983288
04-08-2000,54.43779373,6.85E-05,0,307.3570251,0.34375,7.239560127
05-08-2000,58.09444046,6.34E-05,2.86E-06,307.3222046,0.81640625,4.942417145
06-08-2000,57.51742554,6.38E-05,0,307.2934265,0.8125,3.73227191
07-08-2000,77.60580444,1.75E-05,0,304.0041504,0.46875,7.242622852
08-08-2000,76.17597961,2.72E-05,3.15E-05,304.0352783,2.171875,6.387170315
09-08-2000,79.88987732,2.08E-05,1.86E-05,302.4669495,1.8671875,9.611429214
10-08-2000,61.86457443,4.96E-05,1.34E-05,305.3648987,0.40625,15.29608059
11-08-2000,80.29624176,1.37E-05,1.38E-05,302.1348267,0.296875,9.197609901
12-08-2000,77.73054504,1.67E-05,2.96E-05,302.8023376,0.5703125,8.862344742
13-08-2000,62.34210968,3.47E-05,7.15E-06,305.3101501,0.0703125,11.85343552
14-08-2000,73.66557312,1.62E-05,1.81E-05,303.6755371,0.078125,7.470570087
15-08-2000,73.14448547,2.46E-05,9.54E-07,304.1544189,2.0078125,7.315871716
16-08-2000,77.7914505,1.81E-05,0,303.1875,2.3671875,7.260682106
17-08-2000,76.88925171,1.06E-05,0,303.4329529,0.625,4.847230911
18-08-2000,80.09621429,1.42E-05,0,302.7659302,0.6875,9.434988976
19-08-2000,61.16024399,5.09E-05,1.14E-05,305.7792664,0.15625,11.22921753
20-08-2000,61.02787018,4.68E-05,3.29E-05,305.9798584,0.1796875,9.615392685
21-08-2000,62.01104355,3.80E-05,2.86E-06,305.0633545,0.0234375,10.48313236
22-08-2000,55.58823395,4.97E-05,6.68E-06,307.1189575,0.125,10.83426094
23-08-2000,61.68651962,3.94E-05,1.43E-05,305.8981934,0.25,10.20540428
24-08-2000,70.31535339,1.90E-05,3.15E-05,304.3025513,0.546875,8.359301567
25-08-2000,48.60890579,5.06E-05,1.05E-05,308.0782166,0.0625,8.841597557
26-08-2000,56.90530396,3.49E-05,3.43E-05,306.9725342,0.1796875,8.774218559
